"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CCUS","Currency exchange rates, monthly average","HUN","Hungary","Q","Quarterly","2022-Q2","Q2-2022","NATUSD","National currency per US dollar","0","Units",,,361.7629,,
"CCUS","Currency exchange rates, monthly average","HUN","Hungary","Q","Quarterly","2022-Q3","Q3-2022","NATUSD","National currency per US dollar","0","Units",,,400.6367,,
"CCUS","Currency exchange rates, monthly average","HUN","Hungary","Q","Quarterly","2022-Q4","Q4-2022","NATUSD","National currency per US dollar","0","Units",,,403.2327,,
"CCUS","Currency exchange rates, monthly average","HUN","Hungary","Q","Quarterly","2023-Q1","Q1-2023","NATUSD","National currency per US dollar","0","Units",,,362.1444,,
"CCUS","Currency exchange rates, monthly average","HUN","Hungary","Q","Quarterly","2023-Q2","Q2-2023","NATUSD","National currency per US dollar","0","Units",,,342.6514,,
"CCUS","Currency exchange rates, monthly average","HUN","Hungary","Q","Quarterly","2023-Q3","Q3-2023","NATUSD","National currency per US dollar","0","Units",,,352.6473,,
"CCUS","Currency exchange rates, monthly average","HUN","Hungary","M","Monthly","2022-01","Jan-2022","NATUSD","National currency per US dollar","0","Units",,,316.7986,,
"CCUS","Currency exchange rates, monthly average","HUN","Hungary","M","Monthly","2022-02","Feb-2022","NATUSD","National currency per US dollar","0","Units",,,314.84,,
"CCUS","Currency exchange rates, monthly average","HUN","Hungary","M","Monthly","2022-03","Mar-2022","NATUSD","National currency per US dollar","0","Units",,,342.3561,,
"CCUS","Currency exchange rates, monthly average","HUN","Hungary","M","Monthly","2022-04","Apr-2022","NATUSD","National currency per US dollar","0","Units",,,346.4309,,
"CCUS","Currency exchange rates, monthly average","HUN","Hungary","M","Monthly","2022-05","May-2022","NATUSD","National currency per US dollar","0","Units",,,363.6232,,
"CCUS","Currency exchange rates, monthly average","HUN","Hungary","M","Monthly","2022-06","Jun-2022","NATUSD","National currency per US dollar","0","Units",,,375.2346,,
"CCUS","Currency exchange rates, monthly average","HUN","Hungary","M","Monthly","2022-07","Jul-2022","NATUSD","National currency per US dollar","0","Units",,,396.8252,,
"CCUS","Currency exchange rates, monthly average","HUN","Hungary","M","Monthly","2022-08","Aug-2022","NATUSD","National currency per US dollar","0","Units",,,397.2665,,
"CCUS","Currency exchange rates, monthly average","HUN","Hungary","M","Monthly","2022-09","Sep-2022","NATUSD","National currency per US dollar","0","Units",,,407.8182,,
"CCUS","Currency exchange rates, monthly average","HUN","Hungary","M","Monthly","2022-10","Oct-2022","NATUSD","National currency per US dollar","0","Units",,,425.5452,,
"CCUS","Currency exchange rates, monthly average","HUN","Hungary","M","Monthly","2022-11","Nov-2022","NATUSD","National currency per US dollar","0","Units",,,399.7155,,
"CCUS","Currency exchange rates, monthly average","HUN","Hungary","M","Monthly","2022-12","Dec-2022","NATUSD","National currency per US dollar","0","Units",,,384.4373,,
"CCUS","Currency exchange rates, monthly average","HUN","Hungary","M","Monthly","2023-01","Jan-2023","NATUSD","National currency per US dollar","0","Units",,,367.3268,,
"CCUS","Currency exchange rates, monthly average","HUN","Hungary","M","Monthly","2023-02","Feb-2023","NATUSD","National currency per US dollar","0","Units",,,359.1925,,
"CCUS","Currency exchange rates, monthly average","HUN","Hungary","M","Monthly","2023-03","Mar-2023","NATUSD","National currency per US dollar","0","Units",,,359.9139,,
"CCUS","Currency exchange rates, monthly average","HUN","Hungary","M","Monthly","2023-04","Apr-2023","NATUSD","National currency per US dollar","0","Units",,,343.0385,,
"CCUS","Currency exchange rates, monthly average","HUN","Hungary","M","Monthly","2023-05","May-2023","NATUSD","National currency per US dollar","0","Units",,,342.767,,
"CCUS","Currency exchange rates, monthly average","HUN","Hungary","M","Monthly","2023-06","Jun-2023","NATUSD","National currency per US dollar","0","Units",,,342.1487,,
"CCUS","Currency exchange rates, monthly average","HUN","Hungary","M","Monthly","2023-07","Jul-2023","NATUSD","National currency per US dollar","0","Units",,,342.851,,
"CCUS","Currency exchange rates, monthly average","HUN","Hungary","M","Monthly","2023-08","Aug-2023","NATUSD","National currency per US dollar","0","Units",,,353.3487,,
"CCUS","Currency exchange rates, monthly average","HUN","Hungary","M","Monthly","2023-09","Sep-2023","NATUSD","National currency per US dollar","0","Units",,,361.7424,,
"CCUS","Currency exchange rates, monthly average","HUN","Hungary","M","Monthly","2023-10","Oct-2023","NATUSD","National currency per US dollar","0","Units",,,364.7727,,
"CCUS","Currency exchange rates, monthly average","ISL","Iceland","A","Annual","2022","2022","NATUSD","National currency per US dollar","0","Units",,,135.2731,,
"CCUS","Currency exchange rates, monthly average","ISL","Iceland","Q","Quarterly","2022-Q1","Q1-2022","NATUSD","National currency per US dollar","0","Units",,,128.1093,,
"CCUS","Currency exchange rates, monthly average","ISL","Iceland","Q","Quarterly","2022-Q2","Q2-2022","NATUSD","National currency per US dollar","0","Units",,,130.5224,,
"CCUS","Currency exchange rates, monthly average","ISL","Iceland","Q","Quarterly","2022-Q3","Q3-2022","NATUSD","National currency per US dollar","0","Units",,,138.9283,,
"CCUS","Currency exchange rates, monthly average","ISL","Iceland","Q","Quarterly","2022-Q4","Q4-2022","NATUSD","National currency per US dollar","0","Units",,,143.5325,,
"CCUS","Currency exchange rates, monthly average","ISL","Iceland","Q","Quarterly","2023-Q1","Q1-2023","NATUSD","National currency per US dollar","0","Units",,,142.0541,,
"CCUS","Currency exchange rates, monthly average","ISL","Iceland","Q","Quarterly","2023-Q2","Q2-2023","NATUSD","National currency per US dollar","0","Units",,,137.5235,,
"CCUS","Currency exchange rates, monthly average","ISL","Iceland","Q","Quarterly","2023-Q3","Q3-2023","NATUSD","National currency per US dollar","0","Units",,,133.2912,,
"CCUS","Currency exchange rates, monthly average","ISL","Iceland","M","Monthly","2022-01","Jan-2022","NATUSD","National currency per US dollar","0","Units",,,129.0476,,
"CCUS","Currency exchange rates, monthly average","ISL","Iceland","M","Monthly","2022-02","Feb-2022","NATUSD","National currency per US dollar","0","Units",,,125.15,,
"CCUS","Currency exchange rates, monthly average","ISL","Iceland","M","Monthly","2022-03","Mar-2022","NATUSD","National currency per US dollar","0","Units",,,130.1304,,
"CCUS","Currency exchange rates, monthly average","ISL","Iceland","M","Monthly","2022-04","Apr-2022","NATUSD","National currency per US dollar","0","Units",,,129.4762,,
"CCUS","Currency exchange rates, monthly average","ISL","Iceland","M","Monthly","2022-05","May-2022","NATUSD","National currency per US dollar","0","Units",,,131,,
"CCUS","Currency exchange rates, monthly average","ISL","Iceland","M","Monthly","2022-06","Jun-2022","NATUSD","National currency per US dollar","0","Units",,,131.0909,,
"CCUS","Currency exchange rates, monthly average","ISL","Iceland","M","Monthly","2022-07","Jul-2022","NATUSD","National currency per US dollar","0","Units",,,136.619,,
"CCUS","Currency exchange rates, monthly average","ISL","Iceland","M","Monthly","2022-08","Aug-2022","NATUSD","National currency per US dollar","0","Units",,,138.3478,,
"CCUS","Currency exchange rates, monthly average","ISL","Iceland","M","Monthly","2022-09","Sep-2022","NATUSD","National currency per US dollar","0","Units",,,141.8182,,
"CCUS","Currency exchange rates, monthly average","ISL","Iceland","M","Monthly","2022-10","Oct-2022","NATUSD","National currency per US dollar","0","Units",,,144.1429,,
"CCUS","Currency exchange rates, monthly average","ISL","Iceland","M","Monthly","2022-11","Nov-2022","NATUSD","National currency per US dollar","0","Units",,,144.0909,,
"CCUS","Currency exchange rates, monthly average","ISL","Iceland","M","Monthly","2022-12","Dec-2022","NATUSD","National currency per US dollar","0","Units",,,142.3636,,
"CCUS","Currency exchange rates, monthly average","ISL","Iceland","M","Monthly","2023-01","Jan-2023","NATUSD","National currency per US dollar","0","Units",,,143.1818,,
"CCUS","Currency exchange rates, monthly average","ISL","Iceland","M","Monthly","2023-02","Feb-2023","NATUSD","National currency per US dollar","0","Units",,,142.85,,
"CCUS","Currency exchange rates, monthly average","ISL","Iceland","M","Monthly","2023-03","Mar-2023","NATUSD","National currency per US dollar","0","Units",,,140.1304,,
"CCUS","Currency exchange rates, monthly average","ISL","Iceland","M","Monthly","2023-04","Apr-2023","NATUSD","National currency per US dollar","0","Units",,,136.45,,
